"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"PSPPROJECT","INE488V01015","PSP Projects Limited","29-May-2017","10","10","1","-"
"HUDCO","INE031A01017","Housing & Urban Development Corporation Limited","19-May-2017","10","10","1","-"
"BHAGYANGR","INE458B01036","Bhagyanagar India Limited","17-May-2017","2","2","1","-"
"SCHAND","INE807K01035","S Chand And Company Limited","09-May-2017","5","5","1","-"
"DOLLAR","INE325C01035","Dollar Industries Limited","21-Apr-2017","2","2","1","-"
"WIPL","INE215F01023","The Western India Plywoods Limited","17-Apr-2017","10","10","1","-"
"PODDARHOUS","INE888B01018","Poddar Housing and Development Limited","10-Apr-2017","10","10","1","-"
"APCL","INE071F01012","Anjani Portland Cement Limited","10-Apr-2017","10","10","1","-"
"NACLIND","INE295D01020","NACL Industries Limited","07-Apr-2017","1","1","1","-"
"NRAIL","INE740D01017","N R Agarwal Industries Limited","05-Apr-2017","10","10","1","-"
"SHANKARA","INE274V01019","Shankara Building Products Limited","05-Apr-2017","10","10","1","-"
"CLEDUCATE","INE201M01011","CL Educate Limited","31-Mar-2017","10","10","1","-"
"ARIHANTSUP","INE643K01018","Arihant Superstructures Limited","28-Mar-2017","10","10","1","-"
"AKSHARCHEM","INE542B01011","AksharChem India Limited","28-Mar-2017","10","10","1","-"
"URJA","INE550C01020","Urja Global Limited","28-Mar-2017","1","1","1","-"
"TASTYBITE","INE488B01017","Tasty Bite Eatables Limited","23-Mar-2017","10","10","1","-"
"INTENTECH","INE781A01025","Intense Technologies Limited","23-Mar-2017","2","2","1","-"
"DMART","INE192R01011","Avenue Supermarts Limited","21-Mar-2017","10","10","1","-"
"RADIOCITY","INE919I01024","Music Broadcast Limited","17-Mar-2017","2","2","1","-"
"JITFINFRA","INE863T01013","JITF Infralogistics Limited","27-Feb-2017","2","2","1","-"
"KALYANI","INE610E01010","Kalyani Commercials Limited","13-Feb-2017","10","10","1","-"
"PRICOLLTD","INE726V01018","Pricol Limited","10-Feb-2017","1","1","1","-"
"BSE","INE118H01025","BSE Limited","03-Feb-2017","2","2","1","-"
"BHANDARI","INE474E01029","Bhandari Hosiery Exports Limited","30-Jan-2017","1","1","1","-"
"CAPTRUST","INE707C01018","Capital Trust Limited","16-Jan-2017","10","10","1","-"
"SPCENET","INE970N01027","Spacenet Enterprises India Limited","10-Jan-2017","1","1","1","-"
"HISARMETAL","INE598C01011","Hisar Metal Industries Limited","05-Jan-2017","10","10","1","-"
"ITDC","INE353K01014","India Tourism Development Corporation Limited","30-Dec-2016","10","10","1","-"
"TERASOFT","INE482B01010","Tera Software Limited","29-Dec-2016","10","10","1","-"
"DFMFOODS","INE456C01020","DFM Foods Limited","29-Dec-2016","2","2","1","-"
"LAURUSLABS","INE947Q01010","Laurus Labs Limited","19-Dec-2016","10","10","1","-"
"TCIEXP","INE586V01016","TCI Express Limited","15-Dec-2016","2","2","1","-"
"TMRVL","INE759V01019","The Mandhana Retail Ventures Limited","14-Dec-2016","10","10","1","-"
"SFL","INE916U01025","Sheela Foam Limited","09-Dec-2016","5","5","1","-"
"CMICABLES","INE981B01011","CMI Limited","29-Nov-2016","10","10","1","-"
"KIOCL","INE880L01014","KIOCL Limited","29-Nov-2016","10","10","1","-"
"NBIFIN","INE365I01020","N. B. I. Industrial Finance Company Limited","23-Nov-2016","5","5","1","-"
"ROLLT","INE927A01040","Rollatainers Limited","22-Nov-2016","1","1","1","-"
"SANCO","INE782L01012","Sanco Industries Limited","22-Nov-2016","10","10","1","-"
